,model,hash
0,ft_DenseNet121_2_dt_Xception_13_256.h5,cfbdec1c229b0578899635b0235653bd
1,ft_DenseNet121_2_dt_VGG16_1_32.h5,d384b231c6ccb2fff96d5a7c305f3076
2,ft_DenseNet169_6_dt_Xception_13_112.h5,666775321a871d88beb83361f50cf9e1
3,ft_DenseNet201_4_dt_Xception_13_32.h5,a3712763ab78ae96a4ce422e4eeab1de
4,ft_VGG19_3_dt_Xception_13_128.h5,b951b674aa20192ca801d424b0103efc
5,ft_DenseNet169_6_dt_VGG16_1_512.h5,63da8f0ea980ee95d8b41284f444e6b9
6,ft_VGG19_3_dt_VGG16_1_128.h5,f407cbbe38a1a266b552fcc73b06a82e
7,ft_DenseNet201_4_dt_InceptionResNetV2_20_160.h5,605b39a0191ca07079c53026786821fb
8,ft_DenseNet201_4_dt_VGG16_1_32.h5,2621f23f19ddad1fb692bbd6c59a364f
9,ft_VGG19_3_dt_InceptionResNetV2_20_512.h5,25addb221183e34de569d2d11ef39576
10,ft_DenseNet121_2_dt_InceptionV3_18_64.h5,aa30fc3d9a6566d9ea07068acc45c2ec
